90,Mud Springs,G1076,R892,adult,,13,0.284375,0.259375,-0.025,2,0,3,3
90,Mud Springs,G1512,WY1280,adult, ,26,0.26527778,0.24305556,-0.022222222,1,0,3,3
90,Mud Springs,O13,B298,adult, ,0,0.27777778,0.24861111,-0.029166667,3,0,3,3
90,Mud Springs,R899,G1065,adult, ,0,0.26736111,0.25902778,-0.008333333,3,0,3,3
90,Mud Springs,WB1610,W1433,adult, ,25,0.26388889,0.24305556,-0.020833333,3,0,0,0
90,Mud Springs,WG1511,O1306,adult, ,16,0.25069444,0.25486111,0.004166667,2,0,0,1
90,Mud Springs,WG1552,Y1252,adult,,0.33333333,0.27592593,0.25023148,-0.025694444,3,0,3,3
90,Mud Springs,WG1597,WB1608,adult,,33.333333,0.28148148,0.26435185,-0.01712963,1,1,3,3
90,Mud Springs,WO1304,B1615,adult,,4.5,0.27621528,0.25486111,-0.021354167,3,0,0,0
90,Mud Springs,WO1317,R1764,adult, ,4,0.25208333,0.24583333,-0.00625,3,0,3,3
90,Mud Springs,WR1716,R1721,adult, ,18,0.27361111,0.24444444,-0.029166667,1,0,0,0
90,Mud Springs,WR1719,WB1584,adult,,10.428571,0.2671627,0.25019841,-0.016964286,2.4285714,0,3,3
90,Mud Springs,WY1228,R1730,adult,,2.8333333,0.27268519,0.25081019,-0.021875,2.3333333,1,1,0
90,Mud Springs,Y1174,O750,adult,,23.5,0.27256944,0.25138889,-0.021180556,1.5,0,3,3
,,,,,,,,,,,,,
90,Sybille,B969,R869,adult, ,29,0.25833333,0.26527778,0.006944444,1,0,3,3
90,Sybille,B970,B971,adult, ,27,0.29513889,0.27847222,-0.016666667,3,0,3,3
90,Sybille,G1591,G1590,adult,,23.857143,0.28134921,0.26597222,-0.015376984,1.7142857,1,0,0
90,Sybille,O1355,W1402,adult,,2.6666667,0.27083333,0.26041667,-0.010416667,3,0,3,0
90,Sybille,R1704,Y1256,adult,,24.833333,0.28194444,0.26863426,-0.013310185,1.6666667,0,0,0
90,Sybille,R1707,O1354,adult, ,43,0.27152778,0.27847222,0.006944444,1,0,3,3
90,Sybille,R1725,W1446,adult, ,33,0.27152778,0.27847222,0.006944444,1,0,3,3
90,Sybille,W1405,G1595,adult,,24.5,0.26388889,0.23958333,-0.024305556,1,1,3,3
90,Sybille,W1422,WR1742,adult, ,0,0.24236111,0.23958333,-0.002777778,3,0,0,0
90,Sybille,W1442,B1609,adult,,28.666667,0.28148148,0.26921296,-0.012268519,1.3333333,0,3,3
90,Sybille,WB1626,W1407,adult, ,0,0.24861111,0.23958333,-0.009027778,3,0,0,0
90,Sybille,WB1668,R1727,adult,,14.875,0.25017361,0.25286458,0.002690972,2,0,1,0
90,Sybille,WG1514,W1480,adult,,28.5,0.26041667,0.25451389,-0.005902778,3,0,0,0
90,Sybille,WG1561,Y1281,adult, ,4,0.30555556,0.26597222,-0.039583333,3,0,0,0
90,Sybille,WG1573,R1761,adult, ,0,0.23611111,0.24444444,0.008333333,3,0,0,0
90,Sybille,WO1305,Y1285,adult,,7,0.25138889,0.25243056,0.001041667,2.5,0,0,1
90,Sybille,WO1319,W1414,adult,,11.863095,0.26196263,0.254146,-0.007816634,2.547619,0,0,0
90,Sybille,WO1369,B1627,adult,,10.166667,0.24780093,0.24606481,-0.001736111,2.1666667,0,1,1
90,Sybille,WR1732,Y1284,adult,,17.333333,0.24560185,0.25185185,0.00625,1.8333333,0,0,0
